platform_project_reference,datacenter_reference,platform_reference_id,platform_guid,platform_type,platform_depth,platform_name,latitude,longitude
,,,,,,,degrees_north,degrees_east
V2LBDP,OTN-Global,V2LBDP-ST17,OTN-GlobalV2LBDPV2LBDP-ST17,Underwater mooring,18.0,V2LBDP-ST17,47.3537,-61.7222
V2LBDP,OTN-Global,V2LBDP-ST18,OTN-GlobalV2LBDPV2LBDP-ST18,Underwater mooring,18.0,V2LBDP-ST18,47.3524,-61.7287
V2LBDP,OTN-Global,V2LBDP-ST19,OTN-GlobalV2LBDPV2LBDP-ST19,Underwater mooring,18.0,V2LBDP-ST19,47.3499,-61.7182
V2LBDP,OTN-Global,V2LBDP-ST20,OTN-GlobalV2LBDPV2LBDP-ST20,Underwater mooring,18.0,V2LBDP-ST20,47.3495,-61.7248
V2LBDP,OTN-Global,V2LBDP-ST21,OTN-GlobalV2LBDPV2LBDP-ST21,Underwater mooring,18.0,V2LBDP-ST21,47.3765,-61.7592
V2LBDP,OTN-Global,V2LBDP-ST22,OTN-GlobalV2LBDPV2LBDP-ST22,Underwater mooring,18.0,V2LBDP-ST22,47.3756,-61.7657
V2LBDP,OTN-Global,V2LBDP-ST23,OTN-GlobalV2LBDPV2LBDP-ST23,Underwater mooring,18.0,V2LBDP-ST23,47.3733,-61.7547
V2LBDP,OTN-Global,V2LBDP-ST24,OTN-GlobalV2LBDPV2LBDP-ST24,Underwater mooring,18.0,V2LBDP-ST24,47.3723,-61.7611
V2LBDP,OTN-Global,V2LBDP-ST25,OTN-GlobalV2LBDPV2LBDP-ST25,Underwater mooring,18.0,V2LBDP-ST25,47.3713,-61.7677
V2LBDP,OTN-Global,V2LBDP-ST26,OTN-GlobalV2LBDPV2LBDP-ST26,Underwater mooring,18.0,V2LBDP-ST26,47.3687,-61.757
V2LBDP,OTN-Global,V2LBDP-ST27,OTN-GlobalV2LBDPV2LBDP-ST27,Underwater mooring,18.0,V2LBDP-ST27,47.368,-61.7635
V2LBDP,OTN-Global,V2LBDP-ST28,OTN-GlobalV2LBDPV2LBDP-ST28,Underwater mooring,18.0,V2LBDP-ST28,47.3669,-61.7698
V2LBDP,OTN-Global,V2LBDP-ST29,OTN-GlobalV2LBDPV2LBDP-ST29,Underwater mooring,18.0,V2LBDP-ST29,47.3645,-61.7595
V2LBDP,OTN-Global,V2LBDP-ST30,OTN-GlobalV2LBDPV2LBDP-ST30,Underwater mooring,18.0,V2LBDP-ST30,47.3639,-61.7659
V2LBDP,OTN-Global,"V2LBDP-ST-East site ","OTN-GlobalV2LBDPV2LBDP-ST-East site ",Underwater mooring,18.0,"V2LBDP-ST-East site ",47.3698,-61.7619
V2LBDP,OTN-Global,"V2LBDP-ST-Farm site ","OTN-GlobalV2LBDPV2LBDP-ST-Farm site ",Underwater mooring,18.0,"V2LBDP-ST-Farm site ",47.3604,-61.7435
V2LBDP,OTN-Global,V2LBDP-ST-West site,OTN-GlobalV2LBDPV2LBDP-ST-West site,Underwater mooring,18.0,V2LBDP-ST-West site,47.3555,-61.7212
V2LBDP,OTN-Global,V2LBDP-ST33,OTN-GlobalV2LBDPV2LBDP-ST33,Underwater mooring,5.5,V2LBDP-ST33,46.519,-63.7558
V2LBDP,OTN-Global,V2LBDP-ST31,OTN-GlobalV2LBDPV2LBDP-ST31,Underwater mooring,5.5,V2LBDP-ST31,46.5206,-63.761
V2LBDP,OTN-Global,V2LBDP-ST32,OTN-GlobalV2LBDPV2LBDP-ST32,Underwater mooring,5.5,V2LBDP-ST32,46.5198,-63.7582
V2LBDP,OTN-Global,V2LBDP-ST34,OTN-GlobalV2LBDPV2LBDP-ST34,Underwater mooring,5.5,V2LBDP-ST34,46.5187,-63.7526
V2LBDP,OTN-Global,V2LBDP-ST35,OTN-GlobalV2LBDPV2LBDP-ST35,Underwater mooring,5.5,V2LBDP-ST35,46.5185,-63.7496
V2LBDP,OTN-Global,V2LBDP-ST36,OTN-GlobalV2LBDPV2LBDP-ST36,Underwater mooring,5.5,V2LBDP-ST36,46.5182,-63.7463
V2LBDP,OTN-Global,V2LBDP-ST37,OTN-GlobalV2LBDPV2LBDP-ST37,Underwater mooring,5.5,V2LBDP-ST37,46.5196,-63.744
V2LBDP,OTN-Global,V2LBDP-ST38,OTN-GlobalV2LBDPV2LBDP-ST38,Underwater mooring,6.1,V2LBDP-ST38,46.5219,-63.7442
V2LBDP,OTN-Global,V2LBDP-ST39,OTN-GlobalV2LBDPV2LBDP-ST39,Underwater mooring,5.2,V2LBDP-ST39,46.5238,-63.745
V2LBDP,OTN-Global,V2LBDP-ST40,OTN-GlobalV2LBDPV2LBDP-ST40,Underwater mooring,5.2,V2LBDP-ST40,46.5254,-63.7472
V2LBDP,OTN-Global,V2LBDP-ST41,OTN-GlobalV2LBDPV2LBDP-ST41,Underwater mooring,5.2,V2LBDP-ST41,46.5277,-63.748
V2LBDP,OTN-Global,V2LBDP-ST42,OTN-GlobalV2LBDPV2LBDP-ST42,Underwater mooring,4.6,V2LBDP-ST42,46.5292,-63.7497
V2LBDP,OTN-Global,V2LBDP-ST43,OTN-GlobalV2LBDPV2LBDP-ST43,Underwater mooring,4.6,V2LBDP-ST43,46.5303,-63.753
V2LBDP,OTN-Global,V2LBDP-ST44,OTN-GlobalV2LBDPV2LBDP-ST44,Underwater mooring,4.6,V2LBDP-ST44,46.5303,-63.7554
V2LBDP,OTN-Global,V2LBDP-ST45,OTN-GlobalV2LBDPV2LBDP-ST45,Underwater mooring,4.6,V2LBDP-ST45,46.5303,-63.7592
V2LBRTUR,OTN-Global,Boca1,OTN-GlobalV2LBRTURBoca1,Underwater mooring,4.0,Boca1,26.32559,-80.07108
V2LBRTUR,OTN-Global,Boca2,OTN-GlobalV2LBRTURBoca2,Underwater mooring,6.2,Boca2,26.32114,-80.07129
V2LBRTUR,OTN-Global,Boca3,OTN-GlobalV2LBRTURBoca3,Underwater mooring,6.6,Boca3,26.31649,-80.07191
V2LBRTUR,OTN-Global,Boca4,OTN-GlobalV2LBRTURBoca4,Underwater mooring,7.8,Boca4,26.31203,-80.07211
V2LBRTUR,OTN-Global,Boca5,OTN-GlobalV2LBRTURBoca5,Underwater mooring,6.0,Boca5,26.30746,-80.07288
V2LBRTUR,OTN-Global,BOCA INLET,OTN-GlobalV2LBRTURBOCA INLET,Underwater mooring,2.5,BOCA INLET,26.33988,-80.07327
V2LBRTUR,OTN-Global,BOCA NORTH INTRACOASTAL,OTN-GlobalV2LBRTURBOCA NORTH INTRACOASTAL,Underwater mooring,3.1,BOCA NORTH INTRACOASTAL,26.35179,-80.07628
V2LBRTUR,OTN-Global,BOCA SOUTH INTRACOASTAL,OTN-GlobalV2LBRTURBOCA SOUTH INTRACOASTAL,Underwater mooring,1.7,BOCA SOUTH INTRACOASTAL,26.32752,-80.07987
V2LBRTUR,OTN-Global,GUMBO LIMBO,OTN-GlobalV2LBRTURGUMBO LIMBO,Underwater mooring,3.2,GUMBO LIMBO,26.36386,-80.07106
V2LCELA,OTN-Global,AC01,OTN-GlobalV2LCELAAC01,Underwater mooring,1.1,AC01,25.20095,-80.80167
V2LCELA,OTN-Global,AC02,OTN-GlobalV2LCELAAC02,Underwater mooring,0.95,AC02,25.19927,-80.8012
V2LCELA,OTN-Global,AC03,OTN-GlobalV2LCELAAC03,Underwater mooring,1.0,AC03,25.19822,-80.7887
V2LCELA,OTN-Global,AC04,OTN-GlobalV2LCELAAC04,Underwater mooring,1.4,AC04,25.19983,-80.78743
V2LCELA,OTN-Global,AC05,OTN-GlobalV2LCELAAC05,Underwater mooring,0.9,AC05,25.18788,-80.774
V2LCELA,OTN-Global,AC06,OTN-GlobalV2LCELAAC06,Underwater mooring,0.8,AC06,25.18043,-80.77068
V2LCELA,OTN-Global,AC07,OTN-GlobalV2LCELAAC07,Underwater mooring,1.0,AC07,25.17198,-80.77718
V2LCELA,OTN-Global,AC08,OTN-GlobalV2LCELAAC08,Underwater mooring,0.9,AC08,25.1719,-80.78307
V2LCELA,OTN-Global,AC09,OTN-GlobalV2LCELAAC09,Underwater mooring,1.2,AC09,25.17608,-80.7874
V2LCELA,OTN-Global,AC10,OTN-GlobalV2LCELAAC10,Underwater mooring,1.0,AC10,25.17617,-80.79397
V2LCELA,OTN-Global,GF00,OTN-GlobalV2LCELAGF00,Underwater mooring,0.9,GF00,25.15738,-80.82949
V2LCELA,OTN-Global,GF01,OTN-GlobalV2LCELAGF01,Underwater mooring,0.9,GF01,25.07646,-80.76304
V2LCELA,OTN-Global,GF02,OTN-GlobalV2LCELAGF02,Underwater mooring,0.9,GF02,25.15543,-80.81639
V2LCELA,OTN-Global,GF03,OTN-GlobalV2LCELAGF03,Underwater mooring,0.9,GF03,25.15227,-80.728
V2LCELA,OTN-Global,GF04,OTN-GlobalV2LCELAGF04,Underwater mooring,0.8,GF04,25.15135,-80.81345
V2LCELA,OTN-Global,GF05,OTN-GlobalV2LCELAGF05,Underwater mooring,0.9,GF05,25.08382,-80.76011
V2LCELA,OTN-Global,GF06,OTN-GlobalV2LCELAGF06,Underwater mooring,0.9,GF06,25.14723,-80.80993
V2LCELA,OTN-Global,GF07,OTN-GlobalV2LCELAGF07,Underwater mooring,0.9,GF07,25.14515,-80.80797
V2LCELA,OTN-Global,GF08,OTN-GlobalV2LCELAGF08,Underwater mooring,0.9,GF08,25.15,-80.8185
V2LCELA,OTN-Global,GF09,OTN-GlobalV2LCELAGF09,Underwater mooring,0.9,GF09,25.14365,-80.80208
V2LCELA,OTN-Global,MC01,OTN-GlobalV2LCELAMC01,Underwater mooring,1.15,MC01,25.17564,-80.72288
V2LCELA,OTN-Global,MC02,OTN-GlobalV2LCELAMC02,Underwater mooring,1.15,MC02,25.17572,-80.72392
V2LCELA,OTN-Global,MC03,OTN-GlobalV2LCELAMC03,Underwater mooring,1.1,MC03,25.17607,-80.73566
V2LCELA,OTN-Global,MC04,OTN-GlobalV2LCELAMC04,Underwater mooring,0.8,MC04,25.17557,-80.7363
V2LCELA,OTN-Global,MC05,OTN-GlobalV2LCELAMC05,Underwater mooring,1.3,MC05,25.17103,-80.73438
V2LCELA,OTN-Global,MC06,OTN-GlobalV2LCELAMC06,Underwater mooring,1.6,MC06,25.16727,-80.73153
V2LCELA,OTN-Global,RB01,OTN-GlobalV2LCELARB01,Underwater mooring,1.5,RB01,25.1316,-80.80341
V2LCELA,OTN-Global,RB02,OTN-GlobalV2LCELARB02,Underwater mooring,1.5,RB02,25.12469,-80.7954
V2LCELA,OTN-Global,RB03,OTN-GlobalV2LCELARB03,Underwater mooring,1.5,RB03,25.11945,-80.80419
V2LCELA,OTN-Global,RB05,OTN-GlobalV2LCELARB05,Underwater mooring,1.5,RB05,25.11959,-80.78933
V2LCELA,OTN-Global,TB01,OTN-GlobalV2LCELATB01,Underwater mooring,1.0,TB01,25.15155,-80.72886
V2LCELA,OTN-Global,TB02,OTN-GlobalV2LCELATB02,Underwater mooring,0.6,TB02,25.1481,-80.720267
V2LCELA,OTN-Global,TB03,OTN-GlobalV2LCELATB03,Underwater mooring,0.9,TB03,25.149683,-80.718633
